close_date,exchange_rate_br
04/01/2010 23:58:00,1.719
05/01/2010 23:58:00,1.737
06/01/2010 23:58:00,1.7315
07/01/2010 23:58:00,1.7389
08/01/2010 23:58:00,1.732
11/01/2010 23:58:00,1.731
12/01/2010 23:58:00,1.7373
13/01/2010 23:58:00,1.7459
14/01/2010 23:58:00,1.7641
15/01/2010 23:58:00,1.7644
18/01/2010 23:58:00,1.7633
19/01/2010 23:58:00,1.7742
20/01/2010 23:58:00,1.7895
21/01/2010 23:58:00,1.8008
22/01/2010 23:58:00,1.8188
25/01/2010 23:58:00,1.7835
26/01/2010 23:58:00,1.8336
27/01/2010 23:58:00,1.8496
28/01/2010 23:58:00,1.868
29/01/2010 23:58:00,1.8729
01/02/2010 23:58:00,1.8624
02/02/2010 23:58:00,1.8304
03/02/2010 23:58:00,1.85
04/02/2010 23:58:00,1.8804
05/02/2010 23:58:00,1.8827
08/02/2010 23:58:00,1.8715
09/02/2010 23:58:00,1.843
10/02/2010 23:58:00,1.8506
11/02/2010 23:58:00,1.8515
12/02/2010 23:58:00,1.8585
15/02/2010 23:58:00,1.8514
16/02/2010 23:58:00,1.8425
17/02/2010 23:58:00,1.833
18/02/2010 23:58:00,1.819
19/02/2010 23:58:00,1.8035
22/02/2010 23:58:00,1.808
23/02/2010 23:58:00,1.8196
24/02/2010 23:58:00,1.8186
25/02/2010 23:58:00,1.836
26/02/2010 23:58:00,1.806
01/03/2010 23:58:00,1.798
02/03/2010 23:58:00,1.7325
03/03/2010 23:58:00,1.788
04/03/2010 23:58:00,1.7885
05/03/2010 23:58:00,1.778
08/03/2010 23:58:00,1.7847
09/03/2010 23:58:00,1.781
10/03/2010 23:58:00,1.768
11/03/2010 23:58:00,1.769
12/03/2010 23:58:00,1.761
15/03/2010 23:58:00,1.7614
16/03/2010 23:58:00,1.7662
17/03/2010 23:58:00,1.762
18/03/2010 23:58:00,1.771
19/03/2010 23:58:00,1.795
22/03/2010 23:58:00,1.799
23/03/2010 23:58:00,1.7806
24/03/2010 23:58:00,1.7933
25/03/2010 23:58:00,1.799
26/03/2010 23:58:00,1.823
29/03/2010 23:58:00,1.8085
30/03/2010 23:58:00,1.7938
31/03/2010 23:58:00,1.7805
01/04/2010 23:58:00,1.7654
02/04/2010 23:58:00,1.765
05/04/2010 23:58:00,1.7605
06/04/2010 23:58:00,1.753
07/04/2010 23:58:00,1.777
08/04/2010 23:58:00,1.773
09/04/2010 23:58:00,1.771
12/04/2010 23:58:00,1.7562
13/04/2010 23:58:00,1.7135
14/04/2010 23:58:00,1.746
15/04/2010 23:58:00,1.75
16/04/2010 23:58:00,1.7562
19/04/2010 23:58:00,1.7603
20/04/2010 23:58:00,1.7525
21/04/2010 23:58:00,1.748
22/04/2010 23:58:00,1.7635
23/04/2010 23:58:00,1.7628
26/04/2010 23:58:00,1.744
27/04/2010 23:58:00,1.765
28/04/2010 23:58:00,1.7581
29/04/2010 23:58:00,1.731
30/04/2010 23:58:00,1.7287
03/05/2010 23:58:00,1.731
04/05/2010 23:58:00,1.7493
05/05/2010 23:58:00,1.7798
06/05/2010 23:58:00,1.8341
07/05/2010 23:58:00,1.8495
10/05/2010 23:58:00,1.7749
11/05/2010 23:58:00,1.7755
12/05/2010 23:58:00,1.7735
13/05/2010 23:58:00,1.77
14/05/2010 23:58:00,1.8025
17/05/2010 23:58:00,1.8033
18/05/2010 23:58:00,1.816
19/05/2010 23:58:00,1.8297
20/05/2010 23:58:00,1.8848
21/05/2010 23:58:00,1.8468
24/05/2010 23:58:00,1.8622
25/05/2010 23:58:00,1.8685
26/05/2010 23:58:00,1.863
27/05/2010 23:58:00,1.816
28/05/2010 23:58:00,1.8143
31/05/2010 23:58:00,1.8144
01/06/2010 23:58:00,1.834
02/06/2010 23:58:00,1.831
03/06/2010 23:58:00,1.8194
04/06/2010 23:58:00,1.8389
07/06/2010 23:58:00,1.874
08/06/2010 23:58:00,1.86
09/06/2010 23:58:00,1.842
10/06/2010 23:58:00,1.8123
11/06/2010 23:58:00,1.8116
14/06/2010 23:58:00,1.8017
15/06/2010 23:58:00,1.7846
16/06/2010 23:58:00,1.7868
17/06/2010 23:58:00,1.7854
18/06/2010 23:58:00,1.7723
21/06/2010 23:58:00,1.7636
22/06/2010 23:58:00,1.7669
23/06/2010 23:58:00,1.8011
24/06/2010 23:58:00,1.7785
25/06/2010 23:58:00,1.78
28/06/2010 23:58:00,1.782
29/06/2010 23:58:00,1.8078
30/06/2010 23:58:00,1.7909
01/07/2010 23:58:00,1.7989
02/07/2010 23:58:00,1.7745
05/07/2010 23:58:00,1.7734
06/07/2010 23:58:00,1.767
07/07/2010 23:58:00,1.765
08/07/2010 23:58:00,1.7683
09/07/2010 23:58:00,1.7564
12/07/2010 23:58:00,1.76
